item_id,product_name
101,Baseball Cap
102,Bluetooth Speaker
103,Noise Cancelling Headphones
104,Drone with Camera
105,Robotic Vacuum
106,Gaming Mouse
107,Standing Desk
108,Smart Sunglasses
109,Bluetooth Speaker
110,Puzzle Cube
111,Portable Projector
112,Smart LED Bulb
113,Gaming Console
114,Smart Notebook
115,Smartwatch
116,Portable Charger
117,Webcam
118,Resistance Bands
119,Portable Charger
120,Winter Gloves
121,Air Purifier
122,Webcam
123,Leather Handbag
124,Leather Handbag
125,Cycling Helmet
126,Wireless Headphones
127,Punching Bag
128,Winter Gloves
129,Board Game
130,Running Shoes
131,Sports Water Bottle
132,Sports Water Bottle
133,Cordless Vacuum
134,Laptop Cooling Pad
135,Treadmill
136,Noise Cancelling Headphones
137,External Hard Drive
138,Building Blocks Set
139,Smart LED Bulb
140,Resistance Bands
141,Microwave Oven
142,Educational Robot
143,Denim Jacket
144,4K Monitor
145,Electric Kettle
146,Treadmill
147,Mechanical Keyboard
148,4K Monitor
149,Leather Wallet
150,Induction Cooktop
151,Remote Control Car
152,Dumbbells Set
153,Mechanical Keyboard
154,Standing Desk
155,Standing Desk
156,Standing Desk
157,Mini Refrigerator
158,Air Purifier
159,Building Blocks Set
160,Kids' Scooter
161,Gaming Mouse
162,Noise Cancelling Headphones
163,Bluetooth Speaker
164,Robotic Vacuum
165,Coffee Maker
166,Dumbbells Set
167,Standing Desk
168,Action Figures
169,VR Headset
170,Foam Roller
171,VR Headset
172,Robotic Vacuum
173,Smart Sunglasses
174,Wireless Mouse
175,Cycling Helmet
176,Treadmill
177,Wireless Mouse
178,Microwave Oven
179,Cordless Vacuum
180,Electric Kettle
181,Standing Desk
182,Resistance Bands
183,Standing Desk
184,Treadmill
185,Fitness Band
186,Microwave Oven
187,Cycling Helmet
188,Winter Gloves
189,4K Monitor
190,Running Shoes
191,Building Blocks Set
192,Coffee Maker
193,Whiteboard Markers
194,Wireless Headphones
195,Instant Water Heater
196,VR Headset
197,VR Headset
198,Formal Watch
199,Board Game
200,Formal Watch
201,VR Headset
202,Dumbbells Set
203,Ergonomic Chair
204,Laptop Cooling Pad
205,Board Game
206,Noise Cancelling Earbuds
207,Sports Water Bottle
208,Cycling Helmet
209,Bluetooth Speaker
210,Punching Bag
211,Skipping Rope
212,Ergonomic Chair
213,VR Headset
214,Cotton T-shirt
215,External Hard Drive
216,Webcam
217,VR Headset
218,Smart Sunglasses
219,Desk Organizer
